m07_row_id_or_alias,rust_function_alias,scilab_function_alias_if_known,source_file_locator,formula_family,risk_tier,likely_domain,unit/frame/time_dependency,numerical_sensitivity,singularity_or_branch_risk,external_data_required,recommended_chunk_group,implementation_readiness,block_reason,required_validation_evidence,notes
PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",time_scale_sensitive,blocked_until_frame_time_policy,M00 constants and canonical unit conversion helpers,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-002,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0025,app_resolve_coplanar,foa_app_ast_app_resolve_coplanar,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/vector/ast_app_vector_review.sci",least_squares_or_solver,blocked_until_solver_policy,M00 appendix vector algebra,"not frame/time dependent by metadata, but linear solve/rank tolerance policy required",high near singular or rank-deficient coplanar bases,"rank deficiency, tolerance, and least-squares residual policy unresolved",no_by_metadata_locator_only,9C_solver_rank_tolerance_policy_before_any_promotion,blocked_deliberate_formula_vault_item,blocked_app_resolve_coplanar_least_squares_rank_policy_required,rank/singularity contract; independent analytical cases; Scilab equivalence for source row; no public API until reviewed; scilab_equivalence_job_alias=SEQ-007,Deliberately blocked baseline item.
PORT_STATUS_RELEASE_GATE.csv:row_0041,ch1_is_close,foa_ch01_ast_is_close,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",ambiguous_source_or_contract,do_not_import,M00 constants and canonical unit conversion helpers,test/assertion helper; not a standalone research equation candidate,not applicable as equation candidate,assertion tolerance policy if retained in tests only,no_by_metadata_locator_only,8D_deduplicate_helpers_and_test_utility_policy,do_not_promote_public_formula,blocked_test_helper_or_duplicate_utility_not_formula,"if used, test-only utility policy and no public API promotion; scilab_equivalence_job_alias=SEQ-013",Assertion/comparison helper pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0057,relative_perturbed_accel,foa_ch01_ast_relative_perturbed_accel,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_two_body.sci",perturbation_or_J2,high_risk_requires_numerical_policy,M00 constants and canonical unit conversion helpers,"inertial frame, gravitational constants, perturbation model, integration step, and units policy required",high; propagation/integration and secular-rate tolerances are model-sensitive,"singular orbital elements, critical inclinations, frozen-orbit/SSO branches, integration stability unresolved",possible_model_constant_or_fixture_required,10B_J2_perturbation_and_numerical_policy,blocked_until_perturbation_contract_and_oracle,blocked_until_J2_perturbation_model_and_numerical_validation_policy,J2/perturbation model contract; numerical tolerance policy; reference-oracle fixtures; Scilab equivalence; Rust gates; scilab_equivalence_job_alias=SEQ-012,Perturbation/J2 domain pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0066,newton_accel,foa_ch01_ast_newton_accel,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_gravity_nbody.sci",iterative_solver,blocked_until_solver_policy,M00 constants and canonical unit conversion helpers,"solver tolerance, convergence, branch, and iteration-limit policy required","high for roots, universal variables, propagation, and ODE integration","root selection, anomaly branch, convergence failure, singular orbit cases unresolved",possible_reference_fixture_required,9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy,blocked_until_solver_and_tolerance_contract,blocked_until_iteration_root_selection_and_equivalence_policy,per-solver convergence contract; analytical edge cases; Scilab equivalence; independent oracle fixtures with hashes; scilab_equivalence_job_alias=SEQ-010,Solver/propagator/root/integration name pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0116,ch2_is_close,foa_ch02_ast_is_close,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci",ambiguous_source_or_contract,do_not_import,classical orbital mechanics,test/assertion helper; not a standalone research equation candidate,not applicable as equation candidate,assertion tolerance policy if retained in tests only,no_by_metadata_locator_only,8D_deduplicate_helpers_and_test_utility_policy,do_not_promote_public_formula,blocked_test_helper_or_duplicate_utility_not_formula,"if used, test-only utility policy and no public API promotion; scilab_equivalence_job_alias=SEQ-015",Assertion/comparison helper pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0138,sidereal_to_solar_day_ratio,foa_ch02_ast_sidereal_to_solar_day_ratio,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0139,greenwich_sidereal_from_elapsed,foa_ch02_ast_greenwich_sidereal_from_elapsed,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0140,local_sidereal,foa_ch02_ast_local_sidereal,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0141,time_of_day_to_day_fraction,foa_ch02_ast_time_of_day_to_day_fraction,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/coordinates/ast_ch2_coordinates.sci",time_scale_sensitive,blocked_until_frame_time_policy,classical orbital mechanics,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-014,Time/sidereal/epoch pattern.
