m07_row_id_or_alias,rust_function_alias,scilab_function_alias_if_known,source_file_locator,formula_family,risk_tier,likely_domain,unit/frame/time_dependency,numerical_sensitivity,singularity_or_branch_risk,external_data_required,recommended_chunk_group,implementation_readiness,block_reason,required_validation_evidence,notes
PORT_STATUS_RELEASE_GATE.csv:row_0002,app_constants,foa_app_ast_app_constants,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,medium_risk_requires_contract_review,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,contract_review_first_no_implementation,blocked_until_unit_constant_source_contract,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0006,app_to_due_distance,foa_app_ast_app_to_DUE_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0007,app_from_due_distance,foa_app_ast_app_from_DUE_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0008,app_to_due_velocity,foa_app_ast_app_to_DUE_velocity,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0009,app_from_due_velocity,foa_app_ast_app_from_DUE_velocity,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0010,app_to_tue_time,foa_app_ast_app_to_TUE_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0011,app_from_tue_time,foa_app_ast_app_from_TUE_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,metadata_ready_for_family_contract,standard_formula_vault_gate_only,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0012,app_canonical_units_from_mu_du,foa_app_ast_app_canonical_units_from_mu_DU,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,medium_risk_requires_contract_review,M00 constants and canonical unit conversion helpers,unit/constants contract required; no frame dependency unless canonical gravitational parameter convention is embedded,low for direct unit scaling; medium when canonical units/constants are bundled,"unit dimension, constant source, and non-finite input policy required; no branch expected for pure scaling",possible_for_constant_tables_or_source_values,8C_remaining_M00_unit_conversion_contracts,contract_review_first_no_implementation,blocked_until_unit_constant_source_contract,unit identity tests; dimensional round trips; source-registry seed; validation family card; Scilab equivalence for exact source basename; scilab_equivalence_job_alias=SEQ-002,Unit/constants conversion pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",time_scale_sensitive,blocked_until_frame_time_policy,M00 constants and canonical unit conversion helpers,"epoch, time-scale, sidereal, UT/local-time, and day-boundary policy required",medium to high around epoch/day rollover and sidereal conversions,"calendar/day rollover, time scale, and modulo convention unresolved",possible_time_reference_fixture_required,9B_time_scale_and_sidereal_policy,blocked_until_time_policy_contract,blocked_until_epoch_time_scale_and_sidereal_policy,time-scale policy doc; exact epoch fixtures; source equivalence; independent time oracle; scilab_equivalence_job_alias=SEQ-002,Time/sidereal/epoch pattern.
PORT_STATUS_RELEASE_GATE.csv:row_0025,app_resolve_coplanar,foa_app_ast_app_resolve_coplanar,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/vector/ast_app_vector_review.sci",least_squares_or_solver,blocked_until_solver_policy,M00 appendix vector algebra,"not frame/time dependent by metadata, but linear solve/rank tolerance policy required",high near singular or rank-deficient coplanar bases,"rank deficiency, tolerance, and least-squares residual policy unresolved",no_by_metadata_locator_only,9C_solver_rank_tolerance_policy_before_any_promotion,blocked_deliberate_formula_vault_item,blocked_app_resolve_coplanar_least_squares_rank_policy_required,rank/singularity contract; independent analytical cases; Scilab equivalence for source row; no public API until reviewed; scilab_equivalence_job_alias=SEQ-007,Deliberately blocked baseline item.
