schema_version	batch_id	formula_id	package	crate_name	runtime_symbol	output_variable	contract_path	validation_card_path	source_seed_path	validation_status	test_strategy	test_expression
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.atmosphere.standard.troposphere.temperature	aero-codex-atmosphere	aero_codex_atmosphere	troposphere_temperature	temperature_k	formula-vault/contracts/atmosphere_standard_troposphere_contract.yaml	validation/cards/atmosphere_standard_troposphere.yaml	validation/source_registry/us_standard_atmosphere_1976.yaml	research_required	tolerance	matches!(aero_codex_atmosphere::troposphere_temperature(11000.0), Ok(value) if (value - 216.65).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.atmosphere.standard.troposphere.pressure	aero-codex-atmosphere	aero_codex_atmosphere	troposphere_pressure	pressure_pa	formula-vault/contracts/atmosphere_standard_troposphere_contract.yaml	validation/cards/atmosphere_standard_troposphere.yaml	validation/source_registry/us_standard_atmosphere_1976.yaml	research_required	tolerance	matches!(aero_codex_atmosphere::troposphere_pressure(0.0), Ok(value) if (value - 101325.0).abs() <= 1.0e-9)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.atmosphere.standard.troposphere.density	aero-codex-atmosphere	aero_codex_atmosphere	troposphere_density	density_kg_m3	formula-vault/contracts/atmosphere_standard_troposphere_contract.yaml	validation/cards/atmosphere_standard_troposphere.yaml	validation/source_registry/us_standard_atmosphere_1976.yaml	research_required	tolerance	matches!(aero_codex_atmosphere::troposphere_density(0.0), Ok(value) if value > 1.22 && value < 1.23)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.atmosphere.standard.troposphere.state	aero-codex-atmosphere	aero_codex_atmosphere	troposphere_state	atmosphere_state	formula-vault/contracts/atmosphere_standard_troposphere_contract.yaml	validation/cards/atmosphere_standard_troposphere.yaml	validation/source_registry/us_standard_atmosphere_1976.yaml	research_required	invariant	matches!(aero_codex_atmosphere::troposphere_state(2500.0), Ok(value) if value.temperature_k > 0.0 && value.pressure_pa > 0.0 && value.density_kg_m3 > 0.0 && value.speed_of_sound_m_s > 0.0)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.atmosphere.perfect_gas.speed_of_sound	aero-codex-atmosphere	aero_codex_atmosphere	speed_of_sound	speed_of_sound_m_s	formula-vault/contracts/atmosphere_standard_troposphere_contract.yaml	validation/cards/atmosphere_standard_troposphere.yaml	validation/source_registry/us_standard_atmosphere_1976.yaml	research_required	tolerance	matches!(aero_codex_atmosphere::speed_of_sound(1.4, 287.0, 288.15), Ok(value) if (value - 340.2626485525556).abs() <= 1.0e-9)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.density	aero-codex-thermo	aero_codex_thermo	ideal_gas_density	density_kg_m3	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::ideal_gas_density(101325.0, 287.0, 288.15), Ok(value) if (value - 1.2252256827617731).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.speed_of_sound	aero-codex-thermo	aero_codex_thermo	speed_of_sound	speed_of_sound_m_s	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::speed_of_sound(1.4, 287.0, 288.15), Ok(value) if (value - 340.2626485525556).abs() <= 1.0e-9)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.cp_from_gamma_r	aero-codex-thermo	aero_codex_thermo	cp_from_gamma_r	cp_j_per_kg_k	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::cp_from_gamma_r(1.4, 287.0), Ok(value) if (value - 1004.5000000000001).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.cv_from_gamma_r	aero-codex-thermo	aero_codex_thermo	cv_from_gamma_r	cv_j_per_kg_k	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::cv_from_gamma_r(1.4, 287.0), Ok(value) if (value - 717.5000000000001).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.gamma_from_cp_cv	aero-codex-thermo	aero_codex_thermo	gamma_from_cp_cv	gamma	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::gamma_from_cp_cv(1004.5, 717.5), Ok(value) if (value - 1.4).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.thermo.perfect_gas.specific_gas_constant_from_molar_mass	aero-codex-thermo	aero_codex_thermo	specific_gas_constant_from_molar_mass	specific_gas_constant_j_per_kg_k	formula-vault/contracts/thermo_perfect_gas_contract.yaml	validation/cards/thermo_perfect_gas.yaml	validation/source_registry/nasa_glenn_thermo_cea.yaml	research_required	tolerance	matches!(aero_codex_thermo::specific_gas_constant_from_molar_mass(0.0289647), Ok(value) if (value - 287.05502277438535).abs() <= 1.0e-9)
aerocodex.equation_batch.v1	a4-atmosphere-thermo-gasdynamics	formula_vault.gasdyn.isentropic.temperature_ratio	aero-codex-gas-dynamics	aero_codex_gas_dynamics	temperature_ratio_t0_over_t	t0_over_t	formula-vault/contracts/gasdyn_isentropic_flow_contract.yaml	validation/cards/gasdyn_isentropic_flow.yaml	validation/source_registry/naca_report_1135.yaml	research_required	exact	matches!(aero_codex_gas_dynamics::temperature_ratio_t0_over_t(0.0, 1.4), Ok(value) if value == 1.0)
