schema_version	batch_id	formula_id	package	crate_name	runtime_symbol	output_variable	contract_path	validation_card_path	source_seed_path	validation_status	test_strategy	test_expression
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.angle.deg2rad	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_degrees_to_radians	angle_radians	formula-vault/contracts/m00_angle_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_angle_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_angle_unit_conversions.yaml	research_required	tolerance	matches!(aero_codex_astrodynamics::m00_degrees_to_radians(180.0), Ok(value) if (value - std::f64::consts::PI).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.angle.rad2deg	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_radians_to_degrees	angle_degrees	formula-vault/contracts/m00_angle_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_angle_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_angle_unit_conversions.yaml	research_required	tolerance	matches!(aero_codex_astrodynamics::m00_radians_to_degrees(std::f64::consts::PI), Ok(value) if (value - 180.0).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.angle.wrap2pi	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_wrap2pi	wrapped_angle_radians	formula-vault/contracts/m00_wrap2pi_endpoint_contract.yaml	validation/cards/validation_formula_vault_m00_wrap2pi_endpoint_policy.yaml	validation/source_registry/source_formula_vault_m00_wrap2pi_endpoint_policy.yaml	research_required	invariant	matches!(aero_codex_astrodynamics::m00_wrap2pi(-std::f64::consts::PI), Ok(value) if (value - std::f64::consts::PI).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.dot	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_dot	dot_product	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	exact	matches!(aero_codex_astrodynamics::m00_vector_dot([1.0, 2.0, 3.0], [4.0, -5.0, 6.0]), Ok(value) if value == 12.0)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.norm	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_norm	norm	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	exact	matches!(aero_codex_astrodynamics::m00_vector_norm([3.0, 4.0, 12.0]), Ok(value) if value == 13.0)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.cross	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_cross	cross_product	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	exact	matches!(aero_codex_astrodynamics::m00_vector_cross([1.0, 2.0, 3.0], [4.0, -5.0, 6.0]), Ok(value) if value == [27.0, 6.0, -13.0])
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.unit	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_unit_vector	unit_vector	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	tolerance	matches!(aero_codex_astrodynamics::m00_unit_vector([0.0, 3.0, 4.0]), Ok(value) if value[0].abs() <= 1.0e-15 && (value[1] - 0.6).abs() <= 1.0e-15 && (value[2] - 0.8).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.angle	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_angle	angle_radians	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	tolerance	matches!(aero_codex_astrodynamics::m00_vector_angle([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), Ok(value) if (value - std::f64::consts::PI / 2.0).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.projection	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_projection	projected_vector	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	exact	matches!(aero_codex_astrodynamics::m00_vector_projection([3.0, 4.0, 0.0], [1.0, 0.0, 0.0]), Ok(value) if value == [3.0, 0.0, 0.0])
aerocodex.equation_batch.v1	m00-angle-vector	formula_vault.m00.vector.scalar_triple	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_scalar_triple_product	scalar_triple_product	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	exact	matches!(aero_codex_astrodynamics::m00_scalar_triple_product([1.0, 2.0, 3.0], [4.0, -5.0, 6.0], [-2.0, 1.0, 0.5]), Ok(value) if value == -54.5)
