schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_001	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0807	807	foa_ch09_ast9_assert_true	foa_ch09_ast9_assert_true	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/core/ast_ch9_core.sci	ambiguous_source_or_contract	do_not_import	8D_deduplicate_helpers_and_test_utility_policy											research_required	blocked_test_helper_or_duplicate_utility_not_formula	A45 metadata-only terminal disposition preserves blocked_test_helper_or_duplicate_utility_not_formula pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_002	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0808	808	foa_ch09_ast9_assert_vector_close	foa_ch09_ast9_assert_vector_close	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/core/ast_ch9_core.sci	ambiguous_source_or_contract	do_not_import	8D_deduplicate_helpers_and_test_utility_policy											research_required	blocked_test_helper_or_duplicate_utility_not_formula	A45 metadata-only terminal disposition preserves blocked_test_helper_or_duplicate_utility_not_formula pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_003	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1140	1140	rb_is_close	rb_is_close	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_vector.sci	ambiguous_source_or_contract	do_not_import	8D_deduplicate_helpers_and_test_utility_policy											research_required	blocked_test_helper_or_duplicate_utility_not_formula	A45 metadata-only terminal disposition preserves blocked_test_helper_or_duplicate_utility_not_formula pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_004	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1220	1220	ac_yoyo_omega_from_length	ac_yoyo_omega_from_length	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_005	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1221	1221	ac_yoyo_omega_from_phi	ac_yoyo_omega_from_phi	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_006	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1222	1222	ac_yoyo_omega_from_time	ac_yoyo_omega_from_time	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_007	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1223	1223	ac_yoyo_phi_from_time	ac_yoyo_phi_from_time	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_008	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1224	1224	ac_yoyo_radial_length_complete	ac_yoyo_radial_length_complete	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_009	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1225	1225	ac_yoyo_radial_length_partial	ac_yoyo_radial_length_partial	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
aerocodex.external_m07_resolution.v1	a45_final_residual_backlog_closure_wave1_010	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1226	1226	ac_yoyo_rotation_angle	ac_yoyo_rotation_angle	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/yoyo_despin.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_family_contract_source_review_and_validation_evidence	A45 metadata-only terminal disposition preserves blocked_until_family_contract_source_review_and_validation_evidence pending final residual source review, helper exclusion, or contract-governance closure; no source import, runtime promotion, fixture import, or parity claim.
