schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0240	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0240	240	repeating_groundtrack_radius	foa_ch03_ast_repeating_groundtrack_radius	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/groundtrack/ast_ch3_groundtrack.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_frame_time_body_rotation_and_angle_policy	groundtrack or launch relation requires explicit body fixed inertial frame time scale rotation rate latitude azimuth angle wrap and singularity policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0242	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0242	242	synchronous_groundtrack_type	foa_ch03_ast_synchronous_groundtrack_type	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/groundtrack/ast_ch3_groundtrack.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_frame_time_body_rotation_and_angle_policy	groundtrack or launch relation requires explicit body fixed inertial frame time scale rotation rate latitude azimuth angle wrap and singularity policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0243	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0243	243	launch_inclination_from_azimuth	foa_ch03_ast_launch_inclination_from_azimuth	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/groundtrack/ast_ch3_groundtrack.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_frame_time_body_rotation_and_angle_policy	groundtrack or launch relation requires explicit body fixed inertial frame time scale rotation rate latitude azimuth angle wrap and singularity policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0244	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0244	244	minimum_launch_inclination	foa_ch03_ast_minimum_launch_inclination	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/groundtrack/ast_ch3_groundtrack.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_frame_time_body_rotation_and_angle_policy	groundtrack or launch relation requires explicit body fixed inertial frame time scale rotation rate latitude azimuth angle wrap and singularity policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0245	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0245	245	hohmann_transfer	foa_ch03_ast_hohmann_transfer	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	excluded_composite_maneuver_algorithm_not_formula	multi_output_transfer_or_maneuver_comparison_pipeline_is_a_composite_algorithm_not_a_separate_bounded_formula_node
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0246	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0246	246	hohmann_transfer_altitudes	foa_ch03_ast_hohmann_transfer_altitudes	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	excluded_composite_maneuver_algorithm_not_formula	multi_output_transfer_or_maneuver_comparison_pipeline_is_a_composite_algorithm_not_a_separate_bounded_formula_node
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0247	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0247	247	ascent_ellipse_to_circular	foa_ch03_ast_ascent_ellipse_to_circular	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_missing_maneuver_geometry_units_and_branch_contract	ascent transfer relation requires explicit initial final apsis geometry body parameter units burn sequence output and invalid domain contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0248	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0248	248	conic_radius_reachable	foa_ch03_ast_conic_radius_reachable	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_missing_conic_reachability_and_multi_root_contract	conic radius reachability requires explicit p e radius units tolerance branch multi root angle range and unreachable output contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0249	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0249	249	conic_true_anomalies_for_radius	foa_ch03_ast_conic_true_anomalies_for_radius	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_missing_conic_reachability_and_multi_root_contract	conic radius reachability requires explicit p e radius units tolerance branch multi root angle range and unreachable output contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0250	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0250	250	speed_from_p_e_r	foa_ch03_ast_speed_from_p_e_r	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_missing_conic_speed_parameterization_contract	speed from p e r requires explicit gravitational parameter units positive radius conic domain radicand and nonfinite output contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0251	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0251	251	general_coplanar_transfer_circular	foa_ch03_ast_general_coplanar_transfer_circular	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	excluded_composite_maneuver_algorithm_not_formula	multi_output_transfer_or_maneuver_comparison_pipeline_is_a_composite_algorithm_not_a_separate_bounded_formula_node
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave3.0252	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0252	252	apsis_height_change_linear	foa_ch03_ast_apsis_height_change_linear	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/maneuvers/ast_ch3_maneuvers.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_missing_apsis_maneuver_linearization_and_units_contract	apsis change relation requires explicit linearized or exact semantics impulse sign units valid orbit domain and error bound contract
