schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0401	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0401	401	ch5::intercept_rendezvous	foa_ch05_ast_intercept_rendezvous	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch05_scilab_astrodynamics/src/mission/ast_ch5_intercept_rendezvous.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0548	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0548	548	fb_apogee_from_state	fb_apogee_from_state	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0550	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0550	550	fb_circular_speed	fb_circular_speed	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0552	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0552	552	fb_coast_two_body	fb_coast_two_body	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0553	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0553	553	fb_coe_from_sv	fb_coe_from_sv	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0559	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0559	559	fb_finite_burn_metric	fb_finite_burn_metric	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0561	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0561	561	fb_finite_burn_rates	fb_finite_burn_rates	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0562	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0562	562	fb_ideal_delta_v_from_masses	fb_ideal_delta_v_from_masses	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_scalar_math	medium_risk_requires_contract_review	9E_rocket_equation_scalar_subset_after_contract											research_required	blocked_until_rocket_units_domain_and_sign_policy	Classifier row remains blocked until rocket-equation unit conventions, mass-ratio domain, delta-v sign policy, thrust-to-weight conventions, source registry, and independent scalar validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0564	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0564	564	fb_low_thrust_spiral_radius	fb_low_thrust_spiral_radius	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
aerocodex.external_m07_resolution.v1	a31_relative_motion_finite_burn_policy_wave1_row_0565	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0565	565	fb_low_thrust_spiral_summary	fb_low_thrust_spiral_summary	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	orbit_two_body	high_risk_requires_numerical_policy	9E_rocket_vehicle_policy_then_bounded_scalar_slice											research_required	blocked_until_rocket_vehicle_model_and_solver_policy	Classifier row remains blocked until rocket vehicle, finite-burn, staging, atmosphere, thrust, mass-flow, and numerical-propagation policies plus independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A31.
