schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0037	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0037	37	ch1_wrap_to_2pi	foa_ch01_ast_wrap_to_2pi	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci	angle_normalization	medium_risk_requires_contract_review	8B_or_8D_angle_endpoint_policy_then_deduplicate_wrappers											research_required	blocked_until_angle_endpoint_and_nonfinite_policy	A44 metadata-only block: angle endpoint, interval, wrapping, and non-finite input policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0038	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0038	38	ch1_wrap_to_pi	foa_ch01_ast_wrap_to_pi	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci	angle_normalization	medium_risk_requires_contract_review	8B_or_8D_angle_endpoint_policy_then_deduplicate_wrappers											research_required	blocked_until_angle_endpoint_and_nonfinite_policy	A44 metadata-only block: angle endpoint, interval, wrapping, and non-finite input policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0041	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0041	41	ch1_is_close	foa_ch01_ast_is_close	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci	ambiguous_source_or_contract	do_not_import	8D_deduplicate_helpers_and_test_utility_policy											research_required	do_not_import_helper_or_test_utility	A44 metadata-only exclusion: test helper or duplicate utility is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0044	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0044	44	canonical_units	foa_ch01_ast_canonical_units	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	medium_risk_requires_contract_review	8D_deduplicated_unit_conversion_helpers											research_required	blocked_until_unit_constant_source_contract	A44 metadata-only block: unit/constants contract and source-value policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0045	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0045	45	earth_canonical_units	foa_ch01_ast_earth_canonical_units	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	medium_risk_requires_contract_review	8D_deduplicated_unit_conversion_helpers											research_required	blocked_until_unit_constant_source_contract	A44 metadata-only block: unit/constants contract and source-value policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0046	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0046	46	sun_canonical_units	foa_ch01_ast_sun_canonical_units	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	medium_risk_requires_contract_review	8D_deduplicated_unit_conversion_helpers											research_required	blocked_until_unit_constant_source_contract	A44 metadata-only block: unit/constants contract and source-value policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0112	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0112	112	ch2_wrap_to_2pi	foa_ch02_ast_wrap_to_2pi	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	angle_normalization	medium_risk_requires_contract_review	8B_or_8D_angle_endpoint_policy_then_deduplicate_wrappers											research_required	blocked_until_angle_endpoint_and_nonfinite_policy	A44 metadata-only block: angle endpoint, interval, wrapping, and non-finite input policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0113	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0113	113	ch2_wrap_to_pi	foa_ch02_ast_wrap_to_pi	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	angle_normalization	medium_risk_requires_contract_review	8B_or_8D_angle_endpoint_policy_then_deduplicate_wrappers											research_required	blocked_until_angle_endpoint_and_nonfinite_policy	A44 metadata-only block: angle endpoint, interval, wrapping, and non-finite input policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0116	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0116	116	ch2_is_close	foa_ch02_ast_is_close	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	ambiguous_source_or_contract	do_not_import	8D_deduplicate_helpers_and_test_utility_policy											research_required	do_not_import_helper_or_test_utility	A44 metadata-only exclusion: test helper or duplicate utility is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a44.external_m07.residual_scalar_unit_helper_policy_wave1.row_0122	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0122	122	ch2_earth_ellipsoid_constants	foa_ch02_ast_ch2_earth_ellipsoid_constants	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	unit_conversion	medium_risk_requires_contract_review	8D_deduplicated_unit_conversion_helpers											research_required	blocked_until_unit_constant_source_contract	A44 metadata-only block: unit/constants contract and source-value policy required before runtime promotion.
