schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0002	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0002	2	app_constants	foa_app_ast_app_constants	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	medium_risk_requires_contract_review	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0006	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0006	6	app_to_due_distance	foa_app_ast_app_to_DUE_distance	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0007	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0007	7	app_from_due_distance	foa_app_ast_app_from_DUE_distance	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0008	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0008	8	app_to_due_velocity	foa_app_ast_app_to_DUE_velocity	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0009	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0009	9	app_from_due_velocity	foa_app_ast_app_from_DUE_velocity	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0010	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0010	10	app_to_tue_time	foa_app_ast_app_to_TUE_time	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0011	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0011	11	app_from_tue_time	foa_app_ast_app_from_TUE_time	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0012	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0012	12	app_canonical_units_from_mu_du	foa_app_ast_app_canonical_units_from_mu_DU	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci	unit_conversion	medium_risk_requires_contract_review	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0034	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0034	34	ch1_clamp	foa_ch01_ast_clamp	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci	low_risk_scalar_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_scalar_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
aerocodex.external_m07_resolution.v1	a43.external_m07.scalar_unit_helper_policy_wave1.row_0039	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0039	39	ch1_deg2rad	foa_ch01_ast_deg2rad	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci	unit_conversion	low_risk_candidate	8C_remaining_M00_unit_conversion_contracts											research_required	blocked_until_scalar_unit_helper_contract_review	A43 metadata-only block: scalar helper deduplication and unit/constants contract review required before any public runtime promotion.
