schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1305	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1305	1305	ecef_to_az_el	ecef_to_az_el	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1306	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1306	1306	ecef_to_lla	ecef_to_lla	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1307	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1307	1307	lla_to_ecef	lla_to_ecef	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1308	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1308	1308	teme_to_ecef	teme_to_ecef	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1309	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1309	1309	teme_to_pef	teme_to_pef	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1311	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1311	1311	sat_visibility	sat_visibility	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/groundtrack_visibility.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1312	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1312	1312	tle_groundtrack	tle_groundtrack	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/groundtrack_visibility.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1313	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1313	1313	coe2rv	coe2rv	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/orbit_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1314	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1314	1314	kepler_solve	kepler_solve	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/orbit_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a40.external_m07.sgp4_teme_policy_wave1.row_1315	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1315	1315	newtonnu	newtonnu	M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/orbit_utils.sci	sgp4_teme_sensitive	blocked_until_frame_time_policy	10C_sgp4_teme_oracle_and_frame_time_gate											research_required	blocked_until_sgp4_teme_frame_time_oracle_policy	A40 metadata-only block: Vallado SGP4/TEME frame-time oracle, TLE fixture, deep-space branch, and source-registry policy required before runtime promotion.
