schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0025	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0025	25	app_resolve_coplanar	foa_app_ast_app_resolve_coplanar	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/vector/ast_app_vector_review.sci	least_squares_or_solver	blocked_until_solver_policy	9C_solver_rank_tolerance_policy_before_any_promotion											research_required	blocked_app_resolve_coplanar_least_squares_rank_policy_required	Classifier row remains blocked until least-squares rank/tolerance policy and coplanar-resolution failure semantics are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0066	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0066	66	newton_accel	foa_ch01_ast_newton_accel	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_gravity_nbody.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0162	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0162	162	weighted_least_squares_delta	foa_ch02_ast_weighted_least_squares_delta	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci	least_squares_or_solver	blocked_until_solver_policy	9C_solver_rank_tolerance_and_observation_policy											research_required	blocked_until_least_squares_rank_and_numerical_policy	Classifier row remains blocked until least-squares rank policy, conditioning thresholds, finite-difference step policy, convergence/failure semantics, source registry, and independent numerical oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0165	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0165	165	numerical_jacobian	foa_ch02_ast_numerical_jacobian	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci	least_squares_or_solver	blocked_until_solver_policy	9C_solver_rank_tolerance_and_observation_policy											research_required	blocked_until_least_squares_rank_and_numerical_policy	Classifier row remains blocked until least-squares rank policy, conditioning thresholds, finite-difference step policy, convergence/failure semantics, source registry, and independent numerical oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0166	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0166	166	differential_correction_step	foa_ch02_ast_differential_correction_step	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/correction/ast_ch2_differential_correction.sci	least_squares_or_solver	blocked_until_solver_policy	9C_solver_rank_tolerance_and_observation_policy											research_required	blocked_until_least_squares_rank_and_numerical_policy	Classifier row remains blocked until least-squares rank policy, conditioning thresholds, finite-difference step policy, convergence/failure semantics, source registry, and independent numerical oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0178	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0178	178	laplace_eighth_order_coefficients	foa_ch02_ast_laplace_eighth_order_coefficients	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0179	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0179	179	laplace_rho_from_r	foa_ch02_ast_laplace_rho_from_r	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0180	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0180	180	laplace_rhodot_from_r	foa_ch02_ast_laplace_rhodot_from_r	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0181	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0181	181	laplace_range_residual	foa_ch02_ast_laplace_range_residual	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
aerocodex.external_m07_resolution.v1	resolution.external_m07.solver_policy_wave1.0182	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0182	182	laplace_select_positive_root	foa_ch02_ast_laplace_select_positive_root	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/observations/ast_ch2_laplace_optical.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A28.
