schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0058	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0058	58	specific_energy	foa_ch01_ast_specific_energy	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_two_body.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_ambiguous_specific_energy_input_contract	specific_energy_alias_does_not_disambiguate_semimajor_axis_form_from_state_or_speed_radius_form
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0065	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0065	65	vis_viva_speed	foa_ch01_ast_vis_viva_speed	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_two_body.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts	formula_vault.astrodynamics.two_body.vis_viva_speed		equation-batches/a7-astrodynamics-orekit-foundation.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	vis_viva_speed	aero_codex_astrodynamics::vis_viva_speed	formula-vault/contracts/astrodynamics_two_body_basics_contract.yaml	validation/cards/astrodynamics_two_body_basics.yaml	validation/source_registry/astrodynamics_two_body_basics.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0076	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0076	76	p_from_a_e	foa_ch01_ast_p_from_a_e	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_conics.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_missing_semilatus_rectum_contract_and_runtime	semilatus_rectum_from_semimajor_axis_and_eccentricity_requires_explicit_conic_domain_contract_and_governed_runtime
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0077	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0077	77	radius_from_p_e_nu	foa_ch01_ast_radius_from_p_e_nu	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_conics.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_missing_conic_radius_contract_and_runtime	radius_from_semilatus_rectum_eccentricity_and_true_anomaly_requires_conic_branch_denominator_and_angle_contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0080	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0080	80	rp_from_a_e	foa_ch01_ast_rp_from_a_e	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_conics.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_missing_apsis_geometry_contract_and_runtime	apsis_radius_or_inverse_apsides_mapping_requires_elliptic_domain_ordering_and_output_shape_contract
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0094	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0094	94	circular_speed	foa_ch01_ast_circular_speed	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_special_orbits.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts	formula_vault.astrodynamics.two_body.circular_orbit_speed		equation-batches/a7-astrodynamics-orekit-foundation.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	circular_orbit_speed	aero_codex_astrodynamics::circular_orbit_speed	formula-vault/contracts/astrodynamics_two_body_basics_contract.yaml	validation/cards/astrodynamics_two_body_basics.yaml	validation/source_registry/astrodynamics_two_body_basics.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0095	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0095	95	circular_period	foa_ch01_ast_circular_period	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_special_orbits.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts	formula_vault.astrodynamics.two_body.orbital_period_circular		equation-batches/a7-astrodynamics-orekit-foundation.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	orbital_period_circular	aero_codex_astrodynamics::orbital_period_circular	formula-vault/contracts/astrodynamics_two_body_basics_contract.yaml	validation/cards/astrodynamics_two_body_basics.yaml	validation/source_registry/astrodynamics_two_body_basics.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0098	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0098	98	escape_speed	foa_ch01_ast_escape_speed	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/conics/ast_ch1_special_orbits.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts	formula_vault.astrodynamics.two_body.escape_velocity		equation-batches/a7-astrodynamics-orekit-foundation.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	escape_velocity	aero_codex_astrodynamics::escape_velocity	formula-vault/contracts/astrodynamics_two_body_basics_contract.yaml	validation/cards/astrodynamics_two_body_basics.yaml	validation/source_registry/astrodynamics_two_body_basics.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0148	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0148	148	ch2_specific_energy	foa_ch02_ast_specific_energy	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/elements/ast_ch2_orbital_elements.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_ambiguous_specific_energy_input_contract	specific_energy_alias_does_not_disambiguate_semimajor_axis_form_from_state_or_speed_radius_form
aerocodex.external_m07_resolution.v1	resolution.external_m07.two_body_algebra_wave1.0153	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0153	153	ch2_p_from_a_e	foa_ch02_ast_p_from_a_e	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/elements/ast_ch2_orbital_elements.sci	orbit_two_body	medium_risk_requires_contract_review	8E_or_9A_classical_two_body_algebra_contracts											research_required	blocked_missing_semilatus_rectum_contract_and_runtime	semilatus_rectum_from_semimajor_axis_and_eccentricity_requires_explicit_conic_domain_contract_and_governed_runtime
