schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0554	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0554	554	fb_col	fb_col	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts											research_required	excluded_internal_shape_helper_not_formula	column_shape_normalization_is_internal_utility_not_public_formula
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0555	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0555	555	fb_cross	fb_cross	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.cross	resolution.formula_vault.m00.vector.cross	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_cross	aero_codex_astrodynamics::m00_vector_cross	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0557	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0557	557	fb_dot	fb_dot	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.dot	resolution.formula_vault.m00.vector.dot	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_dot	aero_codex_astrodynamics::m00_vector_dot	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0568	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0568	568	fb_norm	fb_norm	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.norm	resolution.formula_vault.m00.vector.norm	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_norm	aero_codex_astrodynamics::m00_vector_norm	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0586	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0586	586	fb_unit	fb_unit	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.unit	resolution.formula_vault.m00.vector.unit	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_unit_vector	aero_codex_astrodynamics::m00_unit_vector	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0641	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0641	641	ga_angle_between	ga_angle_between	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_util.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.angle	resolution.formula_vault.m00.vector.angle	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_angle	aero_codex_astrodynamics::m00_vector_angle	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0645	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0645	645	ga_col	ga_col	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_util.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts											research_required	excluded_internal_shape_helper_not_formula	column_shape_normalization_is_internal_utility_not_public_formula
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0646	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0646	646	ga_cross	ga_cross	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_util.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.cross	resolution.formula_vault.m00.vector.cross	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_cross	aero_codex_astrodynamics::m00_vector_cross	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0648	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0648	648	ga_dot	ga_dot	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_util.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.dot	resolution.formula_vault.m00.vector.dot	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_dot	aero_codex_astrodynamics::m00_vector_dot	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.vector_helper_wave2.0650	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0650	650	ga_norm	ga_norm	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_util.sci	low_risk_vector_math	low_risk_candidate	8D_helper_deduplication_then_low_risk_vector_contracts	formula_vault.m00.vector.norm	resolution.formula_vault.m00.vector.norm	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_vector_norm	aero_codex_astrodynamics::m00_vector_norm	formula-vault/contracts/m00_vector_algebra_contract.yaml	validation/cards/validation_formula_vault_m00_vector_algebra.yaml	validation/source_registry/source_formula_vault_m00_vector_algebra.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
