token,count,files,category,registered,builtin_allowed,baseline_allowed,first_file,first_line,first_context
STATUS,2099,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,14,"pub const RESEARCH_REQUIRED_STATUS: &str = ""research_required"";"
GATE,2083,4,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,2,"PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/"
PORT,2083,4,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,2,"PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/"
RELEASE,2083,4,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,2,"PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/"
J2,1575,8,chemical_formula_or_unit_symbol,false,false,false,archive/prompts/Pasted markdown.md,1464,35. J2 perturbation scaffold
ID,937,55,software_or_repo_infrastructure,false,true,false,archive/prompts/Pasted markdown.md,182,- add a Codex ID constant where practical;
M00,686,37,chemical_formula_or_unit_symbol,false,false,false,README.md,23,"This README reflects the governed state after **Stage 4 Chunk 8A — M00 vector equation expansion** is merged, pushed, branch-clean, and CI-green."
CODEX,550,14,uppercase_word_or_heading,false,false,false,archive/prompts/Pasted markdown.md,255,"pub const CODEX_ID: &str = ""astrodynamics.two_body.vis_viva"";"
CR3BP,278,3,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,302,"PORT_STATUS_RELEASE_GATE.csv:row_0900,cr3bp_accel_2d,cr3bp_accel_2d,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/s"
M07,264,56,chemical_formula_or_unit_symbol,false,false,false,README.md,29,"| External M07 backlog rows | 1,333 | Registered external M07 represented rows not yet selected as formula-vault candidates. |"
SSO,256,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,5,"PORT_STATUS_RELEASE_GATE.csv:row_0057,relative_perturbed_accel,foa_ch01_ast_relative_perturbed_accel,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_c"
DCM,254,3,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,433,"PORT_STATUS_RELEASE_GATE.csv:row_1052,rb_attitude_quat_derivs_constant_moment,rb_attitude_quat_derivs_constant_moment,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_un"
ODE,239,3,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,6,"PORT_STATUS_RELEASE_GATE.csv:row_0066,newton_accel,foa_ch01_ast_newton_accel,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch"
LVLH/CW,227,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,81,"PORT_STATUS_RELEASE_GATE.csv:row_0401,ch5::intercept_rendezvous,foa_ch05_ast_intercept_rendezvous,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_clea"
LVLH,175,3,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,81,"PORT_STATUS_RELEASE_GATE.csv:row_0401,ch5::intercept_rendezvous,foa_ch05_ast_intercept_rendezvous,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_clea"
M06,172,2,chemical_formula_or_unit_symbol,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
SOURCES,168,11,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,40,const AERODYNAMIC_COEFFICIENT_SOURCES: &[&str] = &[SOURCE_ID_AERODYNAMIC_COEFFICIENTS];
API,159,63,registered,true,true,false,README.md,114,"Stage 4 uses one canonical GitHub `main` and short-lived deployment branches. External bundles are source material, not automatic public API."
SOURCE,158,21,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,35,pub const SOURCE_ID_AERODYNAMIC_COEFFICIENTS: &str =
TLE,156,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
RS,142,35,chemical_formula_or_unit_symbol,false,false,false,README.md,50,"- clean-room BioSim-RS-style resource identity, transaction, deterministic replay, ledger, and smoke/friend-test primitives."
SGP4,141,22,registered,true,false,false,data-governance/DATA_REGISTRY.yaml,196,"bundling_decision: not public API and not merged into crates until Rust CI, Scilab equivalence, and SGP4 certification gates pass"
CW,117,3,chemical_formula_or_unit_symbol,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,81,"PORT_STATUS_RELEASE_GATE.csv:row_0401,ch5::intercept_rendezvous,foa_ch05_ast_intercept_rendezvous,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_clea"
P1,108,1,chemical_formula_or_unit_symbol,false,false,false,docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv,8,"P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0029,ch1_col,foa_ch01_ast_col,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_a"
SHOCK,108,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,32,"pub const CODEX_ID_NORMAL_SHOCK_DOWNSTREAM_MACH: &str = ""gasdyn.normal_shock.mach2"";"
GPL,100,34,registered,true,false,false,README.md,117,- **BioSim Java and BioSim-RS bootstrap**: GPL-boundaried source/reference material. Do not mix GPL implementation code into the dual MIT/Apache AeroCodex core unless a future deliberate licensing path authorizes it.
STANDARD,100,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
BLSS,96,36,registered,true,false,false,ARTIFACT_MANIFEST.md,18,## Thin-film BLSS Rust conversion artifact
